Date,Time,IP Address,HTTP Method,Request,Status Code,Gender,Sport Viewed,Ad Displayed,Rating,Feedback,Session Duration (seconds),Continent,Country,Latitude,Longitude
2024-03-26,18:49:29,167.181.226.17,POST,/contact,304,Male,Basketball,No,3,Excellent,6547,Europe,France,46.6034,1.8883
2024-01-16,19:08:52,66.66.180.168,POST,/teams,200,Female,Boxing,Yes,4,Excellent,6929,Africa,Tanzania,-6.369,34.8888
2024-02-01,20:05:24,70.159.222.224,GET,/news,200,Male,Football,No,2,Excellent,9585,Africa,Tanzania,-6.369,34.8888
2024-04-25,15:27:03,89.20.139.98,POST,/events,200,Male,Baseball,Yes,1,Good,4122,North America,Honduras,15.2,-86.2419
2024-05-11,15:18:30,34.92.39.211,PUT,/events,304,Female,Tennis,Yes,3,Good,2919,Asia,Iran,32.4279,53.688
2024-04-25,09:03:42,94.219.77.208,POST,/about,304,Female,Netball,Yes,2,Average,7671,South America,Peru,-9.19,-75.0152
2024-02-23,08:28:11,23.176.156.91,POST,/gallery,404,Female,Tennis,No,2,Poor,8062,Asia,Japan,36.2048,138.2529
2024-01-10,15:45:41,84.231.221.13,POST,/news,200,Female,Baseball,No,5,Good,8556,Asia,Bangladesh,23.685,90.3563
2024-04-15,04:47:58,166.130.176.122,POST,/events,304,Male,Boxing,Yes,4,Poor,8259,North America,Dominican Republic,18.7357,-70.1627
2024-05-01,00:22:16,137.158.115.74,POST,/home,304,Male,Swimming,No,1,Excellent,8685,South America,Bolivia,-16.2902,-63.5887
2024-04-27,04:07:02,131.101.91.117,PUT,/fixtures,404,Female,Tennis,Yes,4,Average,8798,Europe,Netherlands,52.1326,5.2913
2023-11-19,09:31:43,199.204.100.154,GET,/gallery,404,Female,Baseball,No,5,Excellent,11079,Africa,Zimbabwe,-19.0154,29.1549
2024-02-02,17:59:04,71.34.172.233,PUT,/fixtures,304,Female,Baseball,No,4,Excellent,6043,Africa,Tanzania,-6.369,34.8888
2024-01-30,12:56:41,106.8.42.24,GET,/tickets,404,Female,Boxing,Yes,3,Excellent,10554,South America,Chile,-35.6751,-71.543
2023-12-20,08:42:42,146.175.210.83,POST,/about,200,Male,Tennis,No,1,Average,1595,Europe,Italy,41.8719,12.5674
2024-03-22,11:27:38,169.14.218.244,GET,/fanzone,200,Female,Basketball,No,4,Poor,3623,Asia,China,35.8617,104.1954
2023-12-14,02:56:13,147.23.126.184,GET,/contact,200,Female,Baseball,Yes,3,Average,2692,South America,Brazil,-14.235,-51.9253
2024-02-11,22:48:58,46.222.175.172,PUT,/contact,304,Female,Football,No,1,Good,2917,Europe,Italy,41.8719,12.5674
2023-12-27,05:58:47,26.254.221.117,POST,/fanzone,404,Female,Swimming,Yes,3,Average,9072,Europe,Romania,45.9432,24.9668
2024-01-30,20:27:36,125.129.151.238,PUT,/about,404,Male,Tennis,No,2,Average,1587,South America,Ecuador,-1.8312,-78.1834
2024-01-04,19:59:55,128.82.20.108,PUT,/fixtures,200,Female,Basketball,Yes,2,Poor,9561,Europe,Poland,51.9194,19.1451
2024-04-21,00:06:54,26.60.122.128,PUT,/shop,200,Male,Football,No,1,Average,7788,North America,Canada,56.1304,-106.3468
