Date,Time,IP Address,HTTP Method,Request,Status Code,Gender,Sport Viewed,Ad Displayed,Rating,Feedback,Session Duration (seconds),Continent,Country,Latitude,Longitude
2024-05-04,10:14:33,78.200.195.239,POST,/home,200,Female,Baseball,Yes,5,Excellent,3837,Europe,Romania,45.9432,24.9668
2023-11-30,10:18:40,69.255.235.108,POST,/news,200,Male,Basketball,Yes,4,Poor,1801,North America,Jamaica,18.1096,-77.2975
2024-01-16,09:33:51,185.113.41.16,GET,/home,200,Female,Tennis,No,4,Average,795,Europe,Belgium,50.5039,4.4699
2024-03-01,11:28:12,83.251.177.76,POST,/events,304,Male,Football,No,5,Poor,7874,Europe,Italy,41.8719,12.5674
2024-02-12,04:42:34,106.123.4.249,PUT,/players,404,Female,Boxing,Yes,3,Poor,7050,Europe,Italy,41.8719,12.5674
2023-12-09,08:58:01,40.147.23.205,POST,/fixtures,200,Male,Basketball,Yes,2,Good,1870,North America,Canada,56.1304,-106.3468
2024-02-13,07:27:44,147.48.132.237,POST,/tickets,404,Male,Football,Yes,2,Good,1246,South America,Colombia,4.5709,-74.2973
2023-11-30,14:53:03,82.238.210.226,POST,/home,304,Female,Tennis,Yes,3,Good,4629,South America,Bolivia,-16.2902,-63.5887
2024-01-04,15:08:33,3.50.119.6,POST,/events,200,Male,Basketball,No,2,Good,4641,Africa,Botswana,-22.3285,24.6849
2023-12-03,00:23:06,118.10.222.236,POST,/fanzone,404,Male,Boxing,No,4,Average,8706,Europe,Ukraine,48.3794,31.1656
2024-03-06,03:45:13,86.40.4.30,PUT,/contact,404,Female,Football,No,2,Excellent,3141,South America,Argentina,-38.4161,-63.6167
2024-02-05,04:36:13,42.252.58.71,GET,/news,404,Male,Netball,Yes,4,Average,4016,Europe,Germany,51.1657,10.4515
2024-01-05,16:29:11,126.8.36.118,PUT,/gallery,304,Female,Football,Yes,3,Excellent,4263,Africa,Botswana,-22.3285,24.6849
2024-01-29,00:37:03,56.3.24.25,GET,/about,304,Male,Basketball,Yes,5,Poor,2231,South America,Brazil,-14.235,-51.9253
2023-12-04,22:25:19,124.100.220.95,POST,/players,304,Male,Netball,Yes,1,Good,2290,Europe,United Kingdom,55.3781,-3.436
2024-01-23,22:44:15,76.3.152.70,GET,/events,404,Female,Boxing,No,3,Poor,3904,Africa,Algeria,28.0339,1.6596
2024-01-27,09:19:24,14.67.248.188,GET,/fixtures,200,Female,Swimming,No,3,Poor,8103,Africa,Nigeria,9.082,8.6753
2023-12-24,12:35:12,158.236.41.20,PUT,/fanzone,200,Male,Basketball,Yes,5,Poor,5486,South America,Paraguay,-23.4425,-58.4438
2024-01-13,07:00:27,210.1.216.113,POST,/contact,200,Male,Netball,Yes,1,Excellent,5705,Europe,Belgium,50.5039,4.4699
2023-11-19,09:08:50,153.87.102.138,PUT,/fixtures,200,Female,Football,Yes,5,Average,8109,Asia,Bangladesh,23.685,90.3563
2024-04-20,01:19:41,7.156.102.203,PUT,/fanzone,404,Male,Swimming,Yes,4,Poor,4482,Asia,Vietnam,14.0583,108.2772
2024-04-19,01:29:47,16.195.241.127,PUT,/tickets,404,Female,Basketball,Yes,5,Excellent,718,Europe,Romania,45.9432,24.9668
2023-12-12,02:12:32,148.99.179.224,GET,/tickets,200,Male,Swimming,Yes,4,Excellent,4379,South America,Paraguay,-23.4425,-58.4438
2024-05-13,16:45:52,7.168.137.141,POST,/news,304,Male,Swimming,Yes,5,Average,5838,Africa,Egypt,26.8206,30.8025
2024-01-09,18:04:04,197.179.211.123,GET,/contact,200,Male,Baseball,Yes,3,Average,9897,South America,Uruguay,-32.5228,-55.7658
2024-02-06,03:49:33,58.166.55.112,PUT,/gallery,304,Male,Swimming,Yes,4,Poor,9828,North America,Canada,56.1304,-106.3468
2024-02-09,06:32:32,106.58.109.140,GET,/events,200,Male,Swimming,Yes,2,Poor,1793,South America,Venezuela,6.4238,-66.5897
2023-12-06,17:35:17,72.14.53.254,PUT,/teams,304,Female,Boxing,Yes,4,Excellent,9739,Europe,Belgium,50.5039,4.4699
2024-01-06,13:17:31,211.45.181.8,POST,/news,304,Female,Swimming,Yes,3,Good,1918,Europe,Germany,51.1657,10.4515
2024-02-25,11:30:55,131.205.140.177,POST,/news,304,Male,Netball,Yes,2,Poor,9120,Africa,Morocco,31.7917,7.0926
2024-04-02,02:07:15,44.233.15.222,PUT,/gallery,304,Female,Basketball,No,4,Good,1615,North America,Costa Rica,9.7489,-83.7534
2024-02-27,01:37:17,47.8.131.89,GET,/events,404,Male,Boxing,Yes,1,Average,11312,Asia,Iran,32.4279,53.688
2024-04-22,12:52:04,21.252.241.181,POST,/gallery,200,Female,Boxing,No,1,Poor,10361,North America,Guatemala,15.7835,-90.2308
2024-02-21,07:29:47,134.217.30.227,POST,/fixtures,404,Female,Baseball,No,4,Good,8071,Africa,Tanzania,-6.369,34.8888
2024-02-18,02:28:58,64.171.98.31,POST,/contact,304,Male,Tennis,No,2,Poor,10346,Asia,Pakistan,30.3753,69.3451
2024-02-09,20:22:21,171.147.46.195,PUT,/fixtures,404,Female,Basketball,No,3,Good,3654,South America,Ecuador,-1.8312,-78.1834
2024-02-11,09:22:00,201.42.8.244,PUT,/news,404,Female,Netball,No,3,Good,1865,Africa,Morocco,31.7917,7.0926
2024-03-05,17:05:24,75.219.59.107,GET,/news,304,Female,Boxing,No,4,Good,9719,North America,United States,37.0902,-95.7129
2024-02-15,15:00:30,90.103.29.144,PUT,/contact,404,Female,Netball,Yes,2,Excellent,3235,Africa,Morocco,31.7917,7.0926
2023-12-05,08:19:44,114.80.149.149,POST,/shop,304,Female,Swimming,Yes,4,Poor,9207,South America,Bolivia,-16.2902,-63.5887
2023-12-27,23:43:35,44.108.216.110,POST,/fixtures,304,Male,Football,Yes,2,Excellent,1136,Asia,China,35.8617,104.1954
2024-02-07,21:01:18,21.33.156.186,PUT,/events,200,Female,Swimming,Yes,3,Poor,7608,Europe,Ukraine,48.3794,31.1656
2024-02-20,23:07:30,137.64.208.33,POST,/tickets,404,Male,Basketball,Yes,5,Poor,9780,North America,United States,37.0902,-95.7129
2024-01-19,23:13:29,91.35.49.54,GET,/about,200,Male,Basketball,No,2,Good,10365,Europe,Poland,51.9194,19.1451
2024-02-20,23:14:53,106.172.248.216,PUT,/fanzone,200,Female,Boxing,Yes,4,Poor,3676,Europe,Italy,41.8719,12.5674
2024-03-16,09:52:12,213.224.125.221,GET,/contact,404,Female,Football,No,2,Poor,5882,North America,Honduras,15.2,-86.2419
2024-05-15,19:53:52,88.40.36.86,GET,/players,304,Male,Boxing,No,2,Good,10930,Asia,India,20.5937,78.9629
2024-04-26,20:58:06,13.102.250.231,PUT,/fixtures,304,Female,Basketball,No,3,Poor,6854,Africa,Egypt,26.8206,30.8025
2024-03-13,05:15:16,65.202.56.124,POST,/teams,200,Male,Basketball,Yes,5,Good,3299,Europe,Germany,51.1657,10.4515
2024-01-06,02:15:58,27.242.222.76,PUT,/home,304,Female,Tennis,Yes,5,Excellent,6242,North America,Dominican Republic,18.7357,-70.1627
2023-12-12,02:43:21,99.121.84.210,PUT,/contact,304,Male,Football,Yes,2,Average,7057,North America,Jamaica,18.1096,-77.2975
2024-04-07,06:14:13,34.73.123.186,PUT,/shop,200,Female,Swimming,No,2,Good,1370,Africa,Morocco,31.7917,7.0926
2024-01-11,13:39:23,1.77.154.213,GET,/tickets,404,Female,Swimming,Yes,5,Good,9459,Africa,Morocco,31.7917,7.0926
2024-05-07,00:15:25,126.143.103.114,PUT,/teams,304,Female,Baseball,No,1,Poor,4941,North America,Mexico,23.6345,-102.5528
2024-01-07,23:50:23,215.126.144.51,POST,/players,304,Female,Basketball,No,3,Average,7361,Europe,France,46.6034,1.8883
